capture_id,label,label_name,Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SSH,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
C_i1800_j0,0,benign,4327.357142857143,6,0.0,11924.105188343994,1.0,1.0,0.0,0.0,1.0,0.0,0.0,27.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121166.0,66.0,29026.0,4327.357142857143,7481.881238862922,121166.0,8.69697994656033e-05,28.0,55978546.87244898
C_i1800_j0,0,benign_external,147.8,6,0.0,3528.4798519390934,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.00031489796108669706,10.0,25868.96
C_i1800_j0,0,benign,2308.44,6,0.0,10250.009775171065,1.0,1.0,0.0,0.0,1.0,0.0,0.0,24.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57711.0,66.0,14546.0,2308.44,4036.094063125883,57711.0,0.00010162591934204102,25.0,16290055.2864
C_i1800_j0,0,benign,108.9,6,0.0,21098.10865191147,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1089.0,66.0,306.0,108.9,83.21832730835197,1089.0,5.2664015028211805e-05,10.0,6925.29
C_i1800_j0,0,benign_external,140.36363636363637,6,0.0,5795.4206757944985,1.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1544.0,66.0,511.0,140.36363636363637,155.14583914806957,1544.0,0.0001898050308227539,11.0,24070.23140495868
C_i1800_j0,0,benign_external,147.8,6,0.0,5518.821052631579,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.00020133124457465278,10.0,25868.96
C_i1800_j0,0,benign,113.1,6,0.0,7937.7441332324,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131.0,66.0,347.0,113.1,93.37071275298267,1131.0,0.0001399781968858507,10.0,8718.09
C_i1800_j0,0,benign_external,147.8,6,0.0,4593.477165699266,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.0002418888939751519,10.0,25868.96
C_i1800_j0,0,benign,1582.7222222222222,6,0.0,0.0016182931810884717,1.0,1.0,0.0,0.0,1.0,0.0,0.0,34.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56978.0,66.0,14546.0,1582.7222222222222,3400.7349745729894,56978.0,635.5902877126422,36.0,11564998.367283951
C_i1800_j0,0,benign_external,1846.75,6,0.0,299.88901550190144,1.0,1.0,0.0,0.0,1.0,0.0,0.0,15.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29548.0,66.0,9157.0,1846.75,3104.1924976553887,29548.0,0.0035568714141845704,16.0,9636011.0625
